,Date,Year,Month,Day,Low,High,Open,Close,Change,Volume
2553,2008-03-13,2008,Mar,13,105.56,107.88,106.31,107.54,1.2,71.56
2552,2008-03-14,2008,Mar,14,106.24,108.02,106.64,107.55,0.01,28.28
2551,2008-03-17,2008,Mar,17,99.5,107.97,106.0,101.75,-5.39,165.41
2550,2008-03-18,2008,Mar,18,101.7,106.18,102.31,105.56,3.74,132.09
2549,2008-03-19,2008,Mar,19,100.16,105.1,104.93,100.72,-4.59,144.15
2548,2008-03-20,2008,Mar,20,98.0,100.81,100.07,100.38,-0.34,119.44
2547,2008-03-24,2008,Mar,24,98.92,101.28,99.75,99.86,-0.52,45.33
2546,2008-03-25,2008,Mar,25,98.7,101.1,98.97,100.6,0.74,104.97
2545,2008-03-26,2008,Mar,26,100.75,104.18,100.9,103.99,3.37,133.06
2544,2008-03-27,2008,Mar,27,103.41,105.6,104.22,105.0,0.97,119.59
2543,2008-03-28,2008,Mar,28,103.05,105.42,104.4,103.77,-1.17,89.59
2542,2008-03-31,2008,Mar,31,99.14,105.32,103.36,100.3,-3.34,132.2
2541,2008-04-01,2008,Apr,01,98.99,101.47,100.5,100.17,-0.13,115.24
2540,2008-04-02,2008,Apr,02,99.1,103.98,100.41,103.75,3.57,119.65
2539,2008-04-03,2008,Apr,03,102.01,104.5,103.88,102.52,-1.19,105.77
2538,2008-04-04,2008,Apr,04,102.7,105.08,102.85,104.9,2.32,87.07
2537,2008-04-07,2008,Apr,07,104.6,107.5,104.68,107.14,2.14,119.04
2536,2008-04-08,2008,Apr,08,105.72,107.78,106.83,106.34,-0.75,111.95
2535,2008-04-09,2008,Apr,09,105.75,109.5,106.8,108.47,2.0,110.6
2534,2008-04-10,2008,Apr,10,106.86,109.98,108.54,108.2,-0.25,90.32
2533,2008-04-11,2008,Apr,11,107.69,109.17,107.88,108.75,0.51,80.66
2532,2008-04-14,2008,Apr,14,108.09,110.01,108.26,109.84,1.0,69.26
2531,2008-04-15,2008,Apr,15,109.68,112.08,109.95,111.31,1.34,12.12
2530,2008-04-16,2008,Apr,16,110.15,112.83,111.33,112.66,1.21,111.08
2529,2008-04-17,2008,Apr,17,111.74,113.38,112.83,112.43,-0.2,99.01
2528,2008-04-18,2008,Apr,18,110.62,114.22,112.51,113.92,1.33,103.52
2527,2008-04-21,2008,Apr,21,113.03,114.86,113.85,114.43,0.45,98.95
2526,2008-04-22,2008,Apr,22,113.94,116.75,114.35,115.95,1.33,104.72
2525,2008-04-23,2008,Apr,23,114.58,116.63,115.9,116.46,0.44,104.59
2524,2008-04-24,2008,Apr,24,112.57,116.87,116.05,114.34,-1.82,159.37
2523,2008-04-25,2008,Apr,25,112.49,117.56,113.8,116.34,1.75,148.78
2522,2008-04-28,2008,Apr,28,116.07,117.51,117.32,116.74,0.34,101.96
2521,2008-04-29,2008,Apr,29,113.01,116.74,116.74,113.43,-2.84,142.96
2520,2008-04-30,2008,Apr,30,111.17,114.66,113.5,111.36,-1.82,142.25
2519,2008-05-01,2008,May,01,108.42,112.74,112.74,110.5,-0.77,125.55
2518,2008-05-02,2008,May,02,109.8,114.8,110.36,114.56,3.67,111.59
2517,2008-05-05,2008,May,05,114.21,118.58,114.54,117.99,2.99,63.41
2516,2008-05-06,2008,May,06,117.69,120.99,118.13,120.31,1.97,111.12
2515,2008-05-07,2008,May,07,119.34,122.78,120.15,122.32,1.67,119.57
2514,2008-05-08,2008,May,08,120.89,123.93,122.39,122.84,0.43,137.01
2513,2008-05-09,2008,May,09,123.3,125.9,123.5,125.4,2.08,137.56
2512,2008-05-12,2008,May,12,122.47,125.63,125.63,122.91,-1.99,101.93
2511,2008-05-13,2008,May,13,121.95,124.99,122.85,124.1,0.97,94.5
2510,2008-05-14,2008,May,14,121.45,124.29,123.85,121.86,-1.8,82.53
2509,2008-05-15,2008,May,15,120.1,124.1,120.1,121.25,-0.5,11.5
2508,2008-05-16,2008,May,16,122.71,126.34,123.05,124.99,3.08,124.13
2507,2008-05-19,2008,May,19,123.59,126.0,125.28,125.06,0.06,98.56
2506,2008-05-20,2008,May,20,124.5,128.07,125.2,127.84,2.22,122.45
2505,2008-05-21,2008,May,21,127.8,133.67,127.8,132.7,3.8,140.06
2504,2008-05-22,2008,May,22,130.0,135.14,133.67,130.51,-1.65,152.45
2503,2008-05-23,2008,May,23,130.07,133.74,130.51,131.57,0.81,95.02
2502,2008-05-26,2008,May,26,131.25,133.16,131.25,132.37,0.61,8.09
2501,2008-05-27,2008,May,27,127.83,133.41,132.97,128.31,-3.07,112.66
2500,2008-05-28,2008,May,28,126.04,131.29,128.19,130.93,2.04,141.51
2499,2008-05-29,2008,May,29,126.09,132.85,131.55,126.89,-3.09,135.17
2498,2008-05-30,2008,May,30,125.0,129.0,127.0,127.78,0.7,117.34
2497,2008-06-02,2008,Jun,02,125.62,129.25,127.22,128.02,0.19,124.2
2496,2008-06-03,2008,Jun,03,124.18,128.09,127.88,124.58,-2.69,116.83
2495,2008-06-04,2008,Jun,04,121.7,124.9,124.18,122.1,-1.99,108.25
2494,2008-06-05,2008,Jun,05,121.32,127.9,121.75,127.54,4.46,100.94
2493,2008-06-06,2008,Jun,06,127.23,138.12,127.6,137.69,7.96,132.67
2492,2008-06-09,2008,Jun,09,131.6,137.51,137.25,133.91,-2.75,94.85
2491,2008-06-10,2008,Jun,10,130.5,137.74,134.47,131.02,-2.16,112.49
2490,2008-06-11,2008,Jun,11,131.65,137.3,131.75,135.02,3.05,100.52
2489,2008-06-12,2008,Jun,12,131.35,136.8,135.0,136.09,0.79,62.79
2488,2008-06-13,2008,Jun,13,133.09,136.21,136.17,134.25,-1.35,8.32
2487,2008-06-16,2008,Jun,16,132.82,139.32,134.79,134.71,0.34,112.99
2486,2008-06-17,2008,Jun,17,132.0,135.28,134.25,133.72,-0.73,102.51
2485,2008-06-18,2008,Jun,18,132.14,136.6,133.0,136.44,2.03,95.4
2484,2008-06-19,2008,Jun,19,131.73,137.4,136.22,132.0,-3.25,130.19
2483,2008-06-20,2008,Jun,20,131.48,136.8,132.0,134.86,2.17,97.15
2482,2008-06-23,2008,Jun,23,133.65,137.34,134.56,135.91,0.78,99.88
2481,2008-06-24,2008,Jun,24,135.46,137.76,136.38,136.46,0.4,96.12
2480,2008-06-25,2008,Jun,25,132.0,137.22,137.0,134.33,-1.56,113.46
2479,2008-06-26,2008,Jun,26,133.52,140.56,134.25,139.83,4.09,119.94
2478,2008-06-27,2008,Jun,27,138.99,142.97,139.2,140.31,0.34,115.53
2477,2008-06-30,2008,Jun,30,139.54,143.91,141.29,139.83,-0.34,109.03
2476,2008-07-01,2008,Jul,01,140.11,143.31,140.44,140.67,0.6,84.34
2475,2008-07-02,2008,Jul,02,140.4,144.95,141.7,144.26,2.55,96.34
2474,2008-07-03,2008,Jul,03,144.18,146.69,144.76,146.08,1.26,76.77
2473,2008-07-04,2008,Jul,04,144.25,146.62,146.3,144.42,-1.14,32.44
2472,2008-07-07,2008,Jul,07,140.33,144.86,144.4,141.87,-1.77,97.76
2471,2008-07-08,2008,Jul,08,135.5,142.96,141.86,136.43,-3.83,120.48
2470,2008-07-09,2008,Jul,09,135.9,138.91,136.02,136.58,0.11,95.67
2469,2008-07-10,2008,Jul,10,136.18,142.41,136.8,142.03,3.99,91.02
2468,2008-07-11,2008,Jul,11,141.62,147.5,142.14,144.49,1.73,113.26
2467,2008-07-14,2008,Jul,14,142.25,145.45,144.37,143.92,-0.39,65.25
2466,2008-07-15,2008,Jul,15,134.96,145.55,143.85,138.75,-3.59,71.87
2465,2008-07-16,2008,Jul,16,132.5,139.26,138.76,136.19,-1.85,18.02
2464,2008-07-17,2008,Jul,17,130.73,137.85,136.31,131.07,-3.76,122.82
2463,2008-07-18,2008,Jul,18,129.66,133.69,131.59,130.19,-0.67,106.51
2462,2008-07-21,2008,Jul,21,130.19,133.57,131.04,132.61,1.86,85.1
2461,2008-07-22,2008,Jul,22,127.6,133.75,132.69,129.55,-2.31,111.92
2460,2008-07-23,2008,Jul,23,124.61,129.5,129.4,125.29,-3.29,116.75
2459,2008-07-24,2008,Jul,24,124.1,127.25,125.23,126.44,0.92,110.83
2458,2008-07-25,2008,Jul,25,123.39,127.51,126.56,124.52,-1.52,91.8
2457,2008-07-28,2008,Jul,28,124.05,126.49,124.4,125.84,1.06,92.68
2456,2008-07-29,2008,Jul,29,120.88,126.79,126.12,122.71,-2.49,116.65
2455,2008-07-30,2008,Jul,30,121.42,127.61,122.59,127.1,3.58,117.27
2454,2008-07-31,2008,Jul,31,122.92,127.52,126.9,123.98,-2.45,103.41
2453,2008-08-01,2008,Aug,01,121.94,127.94,123.42,124.18,0.16,101.29
2452,2008-08-04,2008,Aug,04,118.8,125.3,125.3,120.68,-2.82,103.23
2451,2008-08-05,2008,Aug,05,116.91,120.05,119.99,117.7,-2.47,107.54
2450,2008-08-06,2008,Aug,06,115.6,118.77,116.98,117.0,-0.59,107.92
2449,2008-08-07,2008,Aug,07,116.25,119.75,117.2,117.86,0.74,112.8
2448,2008-08-08,2008,Aug,08,112.8,118.1,117.8,113.33,-3.84,88.58
2447,2008-08-11,2008,Aug,11,111.07,115.32,113.85,112.67,-0.58,82.15
2446,2008-08-12,2008,Aug,12,110.47,114.31,112.88,111.15,-1.35,77.21
2445,2008-08-13,2008,Aug,13,111.01,114.93,111.55,113.47,2.09,64.64
2444,2008-08-14,2008,Aug,14,111.88,114.89,114.41,112.64,-0.73,19.16
2443,2008-08-15,2008,Aug,15,110.31,113.05,112.78,112.55,-0.08,87.53
2442,2008-08-18,2008,Aug,18,110.85,114.15,112.3,111.94,-0.54,86.28
2441,2008-08-19,2008,Aug,19,110.7,115.38,111.94,113.25,1.17,99.98
2440,2008-08-20,2008,Aug,20,111.61,115.59,113.85,114.36,0.98,108.48
2439,2008-08-21,2008,Aug,21,114.55,120.93,114.75,120.16,5.07,129.45
2438,2008-08-22,2008,Aug,22,113.38,120.91,120.16,113.92,-5.19,102.59
2437,2008-08-25,2008,Aug,25,113.0,115.6,113.0,114.03,0.1,53.12
2436,2008-08-26,2008,Aug,26,111.65,116.52,114.45,114.63,0.53,138.78
2435,2008-08-27,2008,Aug,27,114.32,117.25,114.32,116.22,1.39,99.54
2434,2008-08-28,2008,Aug,28,112.81,118.26,116.42,114.17,-1.76,129.23
2433,2008-08-29,2008,Aug,29,113.5,116.75,114.97,114.05,-0.11,100.53
2432,2008-09-01,2008,Sep,01,109.17,115.56,115.5,109.41,-4.07,60.99
2431,2008-09-02,2008,Sep,02,104.14,110.45,110.45,108.34,-0.98,133.18
2430,2008-09-03,2008,Sep,03,106.17,108.4,108.33,108.06,-0.26,111.31
2429,2008-09-04,2008,Sep,04,105.16,109.16,108.39,106.3,-1.63,82.23
2428,2008-09-05,2008,Sep,05,103.43,106.65,105.97,104.09,-2.08,96.97
2427,2008-09-08,2008,Sep,08,102.34,106.9,105.74,103.44,-0.62,85.37
2426,2008-09-09,2008,Sep,09,98.94,103.79,103.58,100.34,-3.0,100.89
2425,2008-09-10,2008,Sep,10,98.1,102.06,100.0,98.97,-1.37,105.33
2424,2008-09-11,2008,Sep,11,96.99,100.2,99.2,97.64,-1.34,90.89
2423,2008-09-12,2008,Sep,12,96.33,99.44,98.01,97.58,-0.06,73.12
2422,2008-09-15,2008,Sep,15,91.17,96.59,95.99,92.38,-5.33,23.33
2421,2008-09-16,2008,Sep,16,88.9,92.13,91.57,89.22,-3.42,142.74
2420,2008-09-17,2008,Sep,17,89.03,95.13,91.95,94.84,6.3,142.85
2419,2008-09-18,2008,Sep,18,93.29,99.69,94.85,95.19,0.37,128.15
2418,2008-09-19,2008,Sep,19,94.85,100.5,95.0,99.61,4.64,128.5
2417,2008-09-22,2008,Sep,22,99.5,107.11,99.5,106.04,6.46,144.3
2416,2008-09-23,2008,Sep,23,100.57,106.09,106.09,103.08,-2.79,131.24
2415,2008-09-24,2008,Sep,24,101.63,105.94,103.48,102.45,-0.61,113.89
2414,2008-09-25,2008,Sep,25,100.01,105.27,102.56,104.6,2.1,115.89
2413,2008-09-26,2008,Sep,26,101.2,104.0,103.77,103.54,-1.01,79.26
2412,2008-09-29,2008,Sep,29,92.64,103.29,103.29,93.98,-9.23,124.82
2411,2008-09-30,2008,Sep,30,91.1,99.87,93.3,98.17,4.46,136.13
2410,2008-10-01,2008,Oct,01,92.87,100.31,99.45,95.33,-2.89,116.72
2409,2008-10-02,2008,Oct,02,90.26,97.03,96.1,90.56,-5.0,102.21
2408,2008-10-03,2008,Oct,03,88.0,92.46,90.48,90.25,-0.34,100.64
2407,2008-10-06,2008,Oct,06,83.36,88.65,88.3,83.68,-7.28,105.24
2406,2008-10-07,2008,Oct,07,82.84,87.99,83.91,84.66,1.17,107.68
2405,2008-10-08,2008,Oct,08,81.0,85.6,83.94,84.36,-0.35,116.75
2404,2008-10-09,2008,Oct,09,80.4,85.07,83.62,82.66,-2.02,75.42
2403,2008-10-10,2008,Oct,10,73.14,80.55,80.5,74.09,-10.37,116.79
2402,2008-10-13,2008,Oct,13,75.54,78.42,77.0,77.46,4.55,74.26
2401,2008-10-14,2008,Oct,14,74.26,80.74,78.46,74.53,-3.78,72.7
2400,2008-10-15,2008,Oct,15,69.97,75.04,74.3,70.8,-5.0,63.77
2399,2008-10-16,2008,Oct,16,65.45,70.15,69.5,66.32,-6.33,15.39
2398,2008-10-17,2008,Oct,17,67.4,71.9,70.32,69.6,4.95,122.22
2397,2008-10-20,2008,Oct,20,69.41,73.61,70.65,72.03,3.49,123.28
2396,2008-10-21,2008,Oct,21,67.91,73.29,73.2,69.72,-3.21,105.84
2395,2008-10-22,2008,Oct,22,63.96,68.87,68.87,64.52,-7.46,118.94
2394,2008-10-23,2008,Oct,23,64.0,67.7,65.21,65.92,2.17,128.47
2393,2008-10-24,2008,Oct,24,61.0,67.33,67.33,62.05,-5.87,119.43
2392,2008-10-27,2008,Oct,27,59.02,63.59,61.93,61.41,-1.03,103.17
2391,2008-10-28,2008,Oct,28,59.47,62.95,60.49,60.29,-1.82,112.06
2390,2008-10-29,2008,Oct,29,61.24,67.12,62.88,65.47,8.59,146.68
2389,2008-10-30,2008,Oct,30,61.93,68.35,66.18,63.71,-2.69,122.03
2388,2008-10-31,2008,Oct,31,60.62,66.47,62.52,65.32,2.53,121.1
2387,2008-11-03,2008,Nov,03,60.18,66.7,64.3,60.48,-7.41,121.34
2386,2008-11-04,2008,Nov,04,58.38,67.76,60.5,66.44,9.85,157.32
2385,2008-11-05,2008,Nov,05,61.13,66.0,65.95,61.87,-6.88,138.01
2384,2008-11-06,2008,Nov,06,56.44,62.0,61.56,57.43,-7.18,118.29
2383,2008-11-07,2008,Nov,07,56.62,59.43,56.9,57.35,-0.14,89.12
2382,2008-11-10,2008,Nov,10,56.18,61.98,58.38,59.08,3.02,109.3
2381,2008-11-11,2008,Nov,11,54.92,57.58,57.53,55.71,-5.7,95.23
2380,2008-11-12,2008,Nov,12,51.64,55.92,55.62,52.37,-6.0,95.87
2379,2008-11-13,2008,Nov,13,50.6,53.26,51.96,51.99,-0.73,18.63
2378,2008-11-14,2008,Nov,14,53.42,56.8,56.8,54.24,4.33,112.1
2377,2008-11-17,2008,Nov,17,52.04,56.15,53.37,52.31,-3.56,112.77
2376,2008-11-18,2008,Nov,18,51.25,53.06,52.42,51.84,-0.9,109.99
2375,2008-11-19,2008,Nov,19,50.61,52.95,51.88,51.72,-0.23,114.7
2374,2008-11-20,2008,Nov,20,47.46,51.3,51.0,48.08,-7.04,129.5
2373,2008-11-21,2008,Nov,21,47.4,50.14,47.8,49.19,2.31,101.49
2372,2008-11-24,2008,Nov,24,48.0,54.5,50.0,53.93,9.64,109.65
2371,2008-11-25,2008,Nov,25,50.1,53.86,53.7,50.35,-6.64,137.8
2370,2008-11-26,2008,Nov,26,49.81,54.45,50.69,53.92,7.09,130.19
2369,2008-11-27,2008,Nov,27,51.98,53.91,53.75,53.13,-1.47,45.54
2368,2008-11-28,2008,Nov,28,50.8,54.9,53.42,53.49,0.68,74.93
2367,2008-12-01,2008,Dec,01,47.5,53.0,53.0,47.97,-10.32,118.0
2366,2008-12-02,2008,Dec,02,45.3,48.97,47.7,45.44,-5.27,121.08
2365,2008-12-03,2008,Dec,03,44.87,46.59,45.9,45.44,0.0,98.71
2364,2008-12-04,2008,Dec,04,41.8,45.68,45.1,42.28,-6.95,98.34
2363,2008-12-05,2008,Dec,05,39.35,43.19,42.35,39.74,-6.01,99.2
2362,2008-12-08,2008,Dec,08,40.48,44.63,40.48,43.42,9.26,94.49
2361,2008-12-09,2008,Dec,09,41.25,44.17,43.87,41.53,-4.35,82.4
2360,2008-12-10,2008,Dec,10,40.92,45.27,42.44,42.4,2.09,115.13
2359,2008-12-11,2008,Dec,11,42.0,48.36,42.6,47.39,11.77,98.17
2358,2008-12-12,2008,Dec,12,43.3,47.2,46.63,46.41,-2.07,85.98
2357,2008-12-15,2008,Dec,15,44.25,49.96,46.0,44.6,-3.9,81.01
2356,2008-12-16,2008,Dec,16,43.9,46.48,44.76,44.56,-0.09,10.26
2355,2008-12-17,2008,Dec,17,45.3,48.91,47.79,45.53,2.18,131.5
2354,2008-12-18,2008,Dec,18,43.2,46.68,45.35,43.36,-4.77,107.26
2353,2008-12-19,2008,Dec,19,43.03,45.15,43.42,44.0,1.48,92.71
2352,2008-12-22,2008,Dec,22,41.03,44.77,44.65,41.45,-5.8,75.36
2351,2008-12-23,2008,Dec,23,39.2,42.02,41.05,40.36,-2.63,79.57
2350,2008-12-24,2008,Dec,24,36.2,40.6,40.6,36.61,-9.29,55.65
2349,2008-12-26,2008,Dec,26,36.58,38.74,36.58,38.37,4.81,12.38
2348,2008-12-29,2008,Dec,29,38.15,43.18,39.78,40.55,5.68,64.31
2347,2008-12-30,2008,Dec,30,38.58,40.88,40.8,40.15,-0.99,74.02
2346,2008-12-31,2008,Dec,31,38.1,46.31,40.11,45.59,13.55,72.06
2345,2009-01-02,2009,Jan,02,41.6,47.33,43.85,46.91,2.9,85.07
2344,2009-01-05,2009,Jan,05,46.31,50.05,48.2,49.62,5.78,109.47
2343,2009-01-06,2009,Jan,06,48.6,52.21,48.8,50.53,1.83,119.83
2342,2009-01-07,2009,Jan,07,45.67,51.4,50.53,45.86,-9.24,130.44
2341,2009-01-08,2009,Jan,08,43.75,47.36,46.02,44.67,-2.59,118.25
2340,2009-01-09,2009,Jan,09,42.79,45.67,45.23,44.42,-0.56,90.98
2339,2009-01-12,2009,Jan,12,42.12,44.7,44.57,42.91,-3.4,74.73
2338,2009-01-13,2009,Jan,13,41.84,45.59,43.1,44.83,4.47,72.2
2337,2009-01-14,2009,Jan,14,43.74,46.0,45.08,45.08,0.56,53.71
2336,2009-01-15,2009,Jan,15,43.8,47.2,44.97,44.69,-0.87,12.98
2335,2009-01-16,2009,Jan,16,45.94,49.12,48.0,46.57,4.21,139.68
2334,2009-01-19,2009,Jan,19,43.8,46.5,46.3,44.5,-4.44,69.63
2333,2009-01-20,2009,Jan,20,42.96,45.64,44.6,43.62,-1.98,148.69
2332,2009-01-21,2009,Jan,21,42.85,45.76,43.89,45.02,3.21,97.81
2331,2009-01-22,2009,Jan,22,43.4,46.64,45.12,45.39,0.82,143.53
2330,2009-01-23,2009,Jan,23,43.9,48.61,44.66,48.37,6.57,105.14
2329,2009-01-26,2009,Jan,26,46.67,49.65,47.46,46.96,-2.92,107.58
2328,2009-01-27,2009,Jan,27,43.55,48.4,46.94,43.73,-6.88,133.76
2327,2009-01-28,2009,Jan,28,43.76,46.19,44.2,44.9,2.68,117.88
2326,2009-01-29,2009,Jan,29,44.0,46.06,44.51,45.4,1.11,119.21
2325,2009-01-30,2009,Jan,30,45.1,47.75,45.5,45.88,1.06,106.66
2324,2009-02-02,2009,Feb,02,43.77,46.56,46.06,43.82,-4.49,89.02
2323,2009-02-03,2009,Feb,03,43.84,44.92,44.51,44.08,0.59,82.59
2322,2009-02-04,2009,Feb,04,43.7,45.1,44.23,44.15,0.16,104.16
2321,2009-02-05,2009,Feb,05,44.05,46.6,44.22,46.46,5.23,93.62
2320,2009-02-06,2009,Feb,06,44.21,47.48,47.0,46.21,-0.54,106.13
2319,2009-02-09,2009,Feb,09,45.53,48.42,46.06,46.02,-0.41,101.03
2318,2009-02-10,2009,Feb,10,44.38,48.22,46.02,44.61,-3.06,114.12
2317,2009-02-11,2009,Feb,11,43.93,45.68,45.11,44.28,-0.74,86.27
2316,2009-02-12,2009,Feb,12,43.92,45.14,44.65,44.65,0.84,12.52
2315,2009-02-13,2009,Feb,13,44.32,46.5,45.97,44.81,0.36,106.41
2314,2009-02-16,2009,Feb,16,43.15,45.5,44.3,43.28,-3.41,43.74
2313,2009-02-17,2009,Feb,17,40.23,44.0,43.66,41.03,-5.2,96.93
2312,2009-02-18,2009,Feb,18,39.35,41.77,40.41,39.55,-3.61,104.2
2311,2009-02-19,2009,Feb,19,39.64,42.19,39.91,41.99,6.17,110.21
2310,2009-02-20,2009,Feb,20,39.78,42.1,41.41,41.89,-0.24,104.74
2309,2009-02-23,2009,Feb,23,40.3,43.45,41.66,40.99,-2.15,110.19
2308,2009-02-24,2009,Feb,24,40.43,42.6,40.63,42.5,3.68,115.31
2307,2009-02-25,2009,Feb,25,41.85,44.5,42.35,44.29,4.21,126.55
2306,2009-02-26,2009,Feb,26,44.15,46.63,44.4,46.51,5.01,112.67
2305,2009-02-27,2009,Feb,27,44.52,46.48,46.29,46.35,-0.34,108.4
2304,2009-03-02,2009,Mar,02,41.9,45.65,45.56,42.21,-8.93,116.67
2303,2009-03-03,2009,Mar,03,41.6,44.1,42.16,43.7,3.53,101.14
2302,2009-03-04,2009,Mar,04,43.1,46.54,43.3,46.12,5.54,113.65
2301,2009-03-05,2009,Mar,05,42.85,46.42,46.28,43.64,-5.38,114.03
2300,2009-03-06,2009,Mar,06,43.06,45.24,44.28,44.85,2.77,100.86
2299,2009-03-09,2009,Mar,09,43.07,45.74,45.42,44.13,-1.61,130.05
2298,2009-03-10,2009,Mar,10,43.61,45.77,44.4,43.96,-0.39,93.91
2297,2009-03-11,2009,Mar,11,41.3,44.44,43.81,41.4,-5.82,89.25
2296,2009-03-12,2009,Mar,12,41.48,45.48,41.83,45.09,8.91,74.01
2295,2009-03-13,2009,Mar,13,44.13,46.36,44.8,44.93,-0.35,91.94
2294,2009-03-16,2009,Mar,16,42.59,44.57,44.25,43.98,-2.11,13.5
2293,2009-03-17,2009,Mar,17,45.22,48.65,45.9,48.24,9.69,108.6
2292,2009-03-18,2009,Mar,18,46.05,48.94,47.4,47.66,-1.2,114.23
2291,2009-03-19,2009,Mar,19,48.16,51.64,48.21,50.67,6.32,113.96
2290,2009-03-20,2009,Mar,20,49.74,51.7,50.38,51.22,1.09,84.98
2289,2009-03-23,2009,Mar,23,51.1,53.86,51.3,53.47,4.39,103.66
2288,2009-03-24,2009,Mar,24,52.42,53.61,53.23,53.5,0.06,87.13
2287,2009-03-25,2009,Mar,25,51.17,53.48,53.04,51.75,-3.27,110.51
2286,2009-03-26,2009,Mar,26,52.3,53.8,52.39,53.46,3.3,87.88
2285,2009-03-27,2009,Mar,27,51.17,53.44,53.31,51.98,-2.77,85.1
2284,2009-03-30,2009,Mar,30,47.66,51.6,51.5,47.99,-7.68,127.39
2283,2009-03-31,2009,Mar,31,47.47,49.81,48.5,49.23,2.58,112.92
2282,2009-04-01,2009,Apr,01,47.26,48.7,48.37,48.44,-1.6,118.27
2281,2009-04-02,2009,Apr,02,48.59,53.06,48.59,52.75,8.9,129.67
2280,2009-04-03,2009,Apr,03,51.48,54.26,52.34,53.47,1.36,95.95
2279,2009-04-06,2009,Apr,06,51.15,54.31,53.5,52.24,-2.3,108.0
2278,2009-04-07,2009,Apr,07,50.65,53.18,52.44,51.22,-1.95,98.28
2277,2009-04-08,2009,Apr,08,49.8,53.59,50.56,51.59,0.72,126.63
2276,2009-04-09,2009,Apr,09,51.85,54.27,52.05,54.06,4.79,79.25
2275,2009-04-13,2009,Apr,13,50.9,54.12,53.98,52.14,-3.55,29.33
2274,2009-04-14,2009,Apr,14,51.21,53.56,52.25,51.96,-0.35,64.86
2273,2009-04-15,2009,Apr,15,51.35,52.87,51.86,51.79,-0.33,14.72
2272,2009-04-16,2009,Apr,16,52.53,53.91,53.25,53.06,2.45,100.24
2271,2009-04-17,2009,Apr,17,52.63,53.97,53.05,53.35,0.55,82.58
2270,2009-04-20,2009,Apr,20,49.6,53.06,53.06,49.86,-6.54,124.2
2269,2009-04-21,2009,Apr,21,48.31,50.63,49.86,49.82,-0.08,111.49
2268,2009-04-22,2009,Apr,22,48.85,50.32,49.82,49.81,-0.02,111.41
2267,2009-04-23,2009,Apr,23,49.25,50.51,49.32,50.11,0.6,92.64
2266,2009-04-24,2009,Apr,24,49.5,52.09,50.13,51.67,3.11,108.07
2265,2009-04-27,2009,Apr,27,48.4,51.19,51.04,50.32,-2.61,129.74
2264,2009-04-28,2009,Apr,28,48.88,50.42,50.08,49.99,-0.66,85.77
2263,2009-04-29,2009,Apr,29,49.25,51.28,49.57,50.78,1.58,113.51
2262,2009-04-30,2009,Apr,30,50.0,51.39,51.17,50.8,0.04,118.44
